text,fallacy,subcategory,id,F1_negative_consequence,F2_unspecified_threat,F3_catastrophic_vocabulary,F4_scope_generalisation,F5_intensity_exaggeration,F6_epistemic_reinforcement,F7_immediacy,F8_necessity,F9_metaphor_or_imagery,F10_addressee_impact,F11_urgency,P1_popularity_as_support,P2_popularity_as_evidence,P3_vague_group_reference,P4_popularity_markers,P5_lack_of_independent_reasons,P6_conformity_pressure,P7_identity_or_belonging,P8_group_ambiguity_or_irrelevance
They’re dying in the suburbs,Appeal to Authority,Appeal to fear,1,0.95,0.8,0.7,0.75,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.8
Till you change it you're gonna be unhappy.,Appeal to Emotion,Appeal to fear,2,0.9,0.7,0.0,0.0,0.1,0.3,0.2,0.2,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
they know that people's lives and health are being risked,Appeal to Emotion,Appeal to fear,3,0.9,0.4,0.1,0.7,0.2,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2
"I think it -- that we have a safer nation, but we are a long way from safe.",Appeal to Emotion,Appeal to fear,4,0.6,0.5,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I think it -- that we have a safer nation, but we are a long way from safe.",Appeal to Emotion,Appeal to fear,5,0.4,0.5,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In the meantime, bin Laden is still out there. He is not captured. He is not killed.",Appeal to Emotion,Appeal to fear,6,0.6,0.7,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In the meantime, bin Laden is still out there. He is not captured. He is not killed.",Appeal to Emotion,Appeal to fear,7,0.6,0.7,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In the meantime, bin Laden is still out there. He is not captured. He is not killed.",Appeal to Emotion,Appeal to fear,8,0.4,0.6,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We might have no other choice. We'll have to see if that happens.,Appeal to Emotion,Appeal to fear,9,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We might have no other choice. We'll have to see if that happens.,Appeal to Emotion,Appeal to fear,10,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",Appeal to Emotion,Appeal to fear,11,0.7,0.1,0.2,0.6,0.1,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",Appeal to Emotion,Appeal to fear,12,0.9,0.1,0.3,0.6,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",Appeal to Emotion,Appeal to fear,13,0.9,0.1,0.4,0.6,0.2,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",Appeal to Emotion,Appeal to fear,14,0.7,0.0,0.3,0.4,0.1,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",Appeal to Emotion,Appeal to fear,15,0.8,0.1,0.4,0.6,0.2,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",Appeal to Emotion,Appeal to fear,16,0.9,0.1,0.4,0.6,0.2,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So this is a serious threat.,Appeal to Emotion,Appeal to fear,17,0.8,1.0,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This is dangerous. It isn't just naive; it's dangerous.,Appeal to Emotion,Appeal to fear,18,0.7,0.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This is dangerous. It isn't just naive; it's dangerous.,Appeal to Emotion,Appeal to fear,19,0.7,0.9,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This is dangerous. It isn't just naive; it's dangerous.,Appeal to Emotion,Appeal to fear,20,0.8,0.9,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Just today, policemen was shot, two killed. And this is happening on a weekly basis.",Appeal to Emotion,Appeal to fear,21,0.95,0.2,0.1,0.7,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Just today, policemen was shot, two killed. And this is happening on a weekly basis.",Appeal to Emotion,Appeal to fear,22,1.0,0.3,0.2,0.7,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.",Appeal to Emotion,Appeal to fear,23,0.95,0.2,0.9,0.75,0.7,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"We haven’t seen anything like this, the carnage all over the world.And they look and they see.",Appeal to Emotion,Appeal to fear,24,0.8,0.7,0.9,0.8,0.7,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1
We’re going to defeat ISIS.,Appeal to Emotion,Appeal to fear,25,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We don't know whether he's developing weapons of mass destruction.,Appeal to Emotion,Appeal to fear,26,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He is a danger.,Appeal to Emotion,Appeal to fear,27,0.6,0.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We don't know whether he's developing weapons of mass destruction,Appeal to Emotion,Appeal to fear,28,0.4,0.6,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He is a danger.,Appeal to Emotion,Appeal to fear,29,0.7,1.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,Appeal to Emotion,Appeal to fear,30,0.6,0.8,0.1,0.9,0.8,0.3,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,Appeal to Emotion,Appeal to fear,31,0.75,0.8,0.1,0.95,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,Appeal to Emotion,Appeal to fear,32,0.8,0.8,0.1,1.0,0.8,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Look, this is the year -- this is in the aftermath of Columbine, and Paducah, and all the places in our country where the nation has been shocked by these weapons in the hands of the wrong people.",Appeal to Emotion,Appeal to fear,33,0.8,0.3,0.2,0.6,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2
needs.Our country's in deep trouble.,Appeal to Emotion,Appeal to fear,34,0.8,0.9,0.3,0.8,0.6,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
needs.Our country's in deep trouble.,Appeal to Emotion,Appeal to fear,35,0.9,0.9,0.6,0.8,0.5,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tragically, I was right: Nearly 300 Marines lost their lives in the bombing of the barracks.",Appeal to Emotion,Appeal to fear,36,1.0,0.0,0.7,0.6,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tragically, I was right: Nearly 300 Marines lost their lives in the bombing of the barracks.",Appeal to Emotion,Appeal to fear,37,1.0,0.0,0.7,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"She asked me, can you please make sure another mother is not going through what I'm going through.",Appeal to Emotion,Appeal to fear,38,0.7,0.8,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
"And until we do, Americans here at home are not going to be safe.",Appeal to Emotion,Appeal to fear,39,0.9,0.8,0.0,0.9,0.0,0.7,0.4,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"But you're absolutely correct, it is a threat, it's a huge threat.",Appeal to Emotion,Appeal to fear,40,0.9,1.0,0.4,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"But you're absolutely correct, it is a threat, it's a huge threat.",Appeal to Emotion,Appeal to fear,41,0.9,1.0,0.3,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We were safer before President Bush came to office. Now they have the bombs and we're less safe.,Appeal to Emotion,Appeal to fear,42,0.9,0.7,0.2,0.8,0.1,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5
We were safer before President Bush came to office. Now they have the bombs and we're less safe.,Appeal to Emotion,Appeal to fear,43,0.9,0.7,0.2,0.8,0.1,0.0,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5
We were safer before President Bush came to office. Now they have the bombs and we're less safe.,Appeal to Emotion,Appeal to fear,44,0.9,0.7,0.2,0.6,0.1,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7
We were safer before President Bush came to office. Now they have the bombs and we're less safe.,Appeal to Emotion,Appeal to fear,45,0.9,0.7,0.2,0.8,0.1,0.0,0.6,0.0,0.0,0.8,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.6
who threatens the peace? Who threatens freedom in the world?,Appeal to Emotion,Appeal to fear,46,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater.  And her son had been shot through the head.",Appeal to Emotion,Appeal to fear,47,0.95,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I was hunting in Iowa last year with a sheriff from one of the counties there, and he pointed to a house in back of us, and said, ""See the house over? We just did a drug bust a week earlier, and the guy we arrested had an AK-47 lying on the bed right beside him. """,Appeal to Emotion,Appeal to fear,48,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"And the last president of the United States that tried that was Herbert Hoover, and we went from a deep recession into a depression.",Appeal to Emotion,Appeal to fear,49,0.9,0.1,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"And the last president of the United States that tried that was Herbert Hoover, and we went from a deep recession into a depression.",Appeal to Emotion,Appeal to fear,50,0.95,0.1,0.75,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin Roosevelt said in 1932 that the only thing we have to fear is fear itself.,Appeal to Emotion,Appeal to fear,51,0.2,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
